"Time","105_evt"
1590777436472,0
1590777436594,1
1590777436597,0
1590777436719,1
1590777436722,0
1590777436844,1
1590777436847,0
1590777436968,1
1590777436972,0
1590777437093,1
1590777437097,0
1590777437218,1
1590777437222,0
1590777437343,1
1590777437347,0
1590777437468,1
1590777437472,0
1590777437592,1
1590777437598,0
1590777437717,1
1590777437722,0
1590777437842,1
1590777437847,0
1590777437967,1
1590777437972,0
1590777438092,1
1590777438097,0
1590777438216,1
1590777438222,0
1590777438341,1
1590777438347,0
1590777438466,1
1590777438472,0
1590777438591,1
1590777438597,0
1590777438715,1
1590777438722,0
1590777438840,1
1590777438847,0
1590777438965,1
1590777438972,0
1590777439090,1
1590777439097,0
1590777439215,1
1590777439222,0
1590777439340,1
1590777439347,0
1590777439464,1
1590777439472,0
1590777439589,1
1590777439590,0
1590777439714,1
1590777439715,0
1590777439839,1
1590777439840,0
1590777439963,1
1590777439965,0
1590777440088,1
1590777440090,0
1590777440213,1
1590777440215,0
1590777440338,1
1590777440340,0
1590777440463,1
1590777440465,0
1590777440587,1
1590777440590,0
1590777440712,1
1590777440715,0
1590777440837,1
1590777440840,0
1590777440962,1
1590777440965,0
1590777441086,1
1590777441090,0
1590777441211,1
1590777441215,0
1590777441336,1
1590777441340,0
1590777441461,1
1590777441464,0
1590777441586,1
1590777441589,0
1590777441710,1
1590777441714,0
1590777441835,1
1590777441839,0
1590777441960,1
1590777441964,0
1590777442085,1
1590777442089,0
1590777442210,1
1590777442214,0
1590777442334,1
1590777442339,0
1590777442459,1
1590777442464,0
1590777442584,1
1590777442589,0
1590777442709,1
1590777442714,0
1590777442834,1
1590777442839,0
1590777442958,1
1590777442964,0
1590777443083,1
1590777443089,0
1590777443208,1
1590777443214,0
1590777443333,1
1590777443339,0
1590777443458,1
1590777443464,0
1590777443582,1
1590777443590,0
1590777443707,1
1590777443714,0
1590777443832,1
1590777443839,0
1590777443957,1
1590777443964,0
1590777444082,1
1590777444089,0
1590777444206,1
1590777444207,0
1590777444331,1
1590777444332,0
1590777444456,1
1590777444457,0
1590777444581,1
1590777444582,0
1590777444705,1
1590777444707,0
1590777444830,1
1590777444832,0
1590777444955,1
1590777444957,0
1590777445080,1
1590777445082,0
1590777445205,1
1590777445207,0
1590777445329,1
1590777445332,0
1590777445454,1
1590777445457,0
1590777445579,1
1590777445582,0
1590777445704,1
1590777445707,0
1590777445829,1
1590777445832,0
1590777445953,1
1590777445957,0
1590777446078,1
1590777446082,0
1590777446203,1
1590777446207,0
1590777446328,1
1590777446332,0
1590777446452,1
1590777446457,0
1590777446577,1
1590777446582,0
1590777446702,1
1590777446707,0
1590777446827,1
1590777446832,0
1590777446952,1
1590777446957,0
1590777447076,1
1590777447082,0
1590777447201,1
1590777447207,0
1590777447326,1
1590777447332,0
1590777447451,1
1590777447457,0
1590777447576,1
1590777447582,0
1590777447700,1
1590777447707,0
1590777447825,1
1590777447832,0
1590777447950,1
1590777447957,0
1590777448075,1
1590777448082,0
1590777448324,1
1590777448332,0
1590777448824,1
1590777448832,0
1590777449073,1
1590777449074,0
1590777449323,1
1590777449324,0
1590777449572,1
1590777449574,0
1590777449697,1
1590777449699,0
1590777449947,1
1590777449949,0
1590777450196,1
1590777450199,0
1590777450820,1
